n,num_classes,class_sizes,class_x,class_transient_failures_per_year,class_dataloss_failures_per_year,class_cost_per_year,simplified_status,full_status,simplified_state_estimate,full_state_estimate,simplified_num_states,full_num_states,simplified_build_ms,full_build_ms,simplified_steady_solve_ms,simplified_mttdl_solve_ms,simplified_total_solve_ms,full_steady_solve_ms,full_mttdl_solve_ms,full_total_solve_ms,simplified_availability,full_availability,availability_abs_error,simplified_mttdl_years,full_mttdl_years,simplified_raw_mttdl_years,full_raw_mttdl_years,simplified_min_first_passage_years,full_min_first_passage_years,mttdl_rel_error,simplified_cost_per_year,full_cost_per_year,cost_per_year_rel_error,simplified_skip_reason,full_skip_reason,simplified_steady_error,simplified_mttdl_error,full_steady_error,full_mttdl_error
3,1,3,0.5,8.0625,0.00050152588,916.86737,mttdl-invalid,mttdl-invalid,20,2184,16,598,4.942833002132829,7.362541997281369,3.457207996689249,1.4566250029020011,4.91383299959125,7.315416994970292,6.853792001493275,14.169208996463567,0.9999987021638514,0.9999986981861071,3.977744356120638e-09,,,-1003154998297473.8,-33807769776096.67,-1003154998297474.4,-33807769776096.805,,2750.6020934440944,2750.6020986936533,1.908512632883591e-09,,,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned
3,2,2|1,0.25|0.75,12.442383|8.4970703,0.00050000005|0.0011681731,873.07617|909.18843,ok,mttdl-invalid,54,8424,33,1602,0.9352920023957267,23.241791997861583,1.4831660009804182,1.275667003937997,2.758833004918415,83.01041700178757,97.58283299743198,180.59324999921955,0.9999982549967896,0.9999982475269679,7.469821761141304e-09,115315205558352.28,,115315205558352.28,-92424127065521.83,0.0,-92424127065522.33,,2655.3407491340454,2655.340756498273,2.773364471187819e-09,,,,,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned
3,3,1|1|1,0.16666667|0.5|0.83333333,14.417095|8.0625|11.114626,0.0005|0.00050152588|0.0037452736,853.32905|916.86737|870.12737,mttdl-invalid,mttdl-invalid,108,20736,54,3024,1.291082997340709,51.84404199826531,1.5024160020402633,1.2965409987373278,2.798957000777591,537.8480419967673,569.0900000045076,1106.9380420012749,0.9999982846652473,0.9999982771979635,7.467283791307011e-09,,,-114065763769540.17,-13420036584898.635,-114065763769540.4,-13420036584898.896,,2640.323732153307,2640.3237479284912,5.9747158848933065e-09,,,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned
5,1,5,0.5,8.0625,0.00050152588,916.86737,mttdl-invalid,mttdl-invalid,42,26208,36,8463,1.1761249988921918,116.51670799619751,1.4500000033876859,1.327041994954925,2.777041998342611,12609.061249997467,19331.160124995222,31940.22137499269,0.999998721615906,0.9999987216142252,1.6807666369800245e-12,,,-762375656048358.8,-9363282852912.424,-762375656048358.9,-9363282852912.553,,4584.336822406824,4584.33683115609,1.9085129635365417e-09,,,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned
5,2,3|2,0.25|0.75,12.442383|8.4970703,0.00050000005|0.0011681731,873.07617|909.18843,mttdl-invalid,steady-timeout,180,255528,126,59748,2.4539999940316193,1177.1243340044748,2.3329169998760335,2.0028750004712492,4.335792000347283,60001.309749997745,,60001.309749997745,0.9999983361202127,,,,,-98693358452599.48,,-98693358452599.73,,,4437.605332439785,,,,,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned,exceeded 60s solve budget,steady solve did not finish
5,3,2|2|1,0.16666667|0.5|0.83333333,14.417095|8.0625|11.114626,0.0005|0.00050152588|0.0037452736,853.32905|916.86737|870.12737,mttdl-invalid,steady-timeout,432,876096,252,158652,3.9406249998137355,3950.726333001512,2.8537499965750612,2.724334000959061,5.578083997534122,60002.017792001425,,60002.017792001425,0.9999983370418964,,,,,-62987250745517.5,,-62987250745517.59,,,4410.5201375910065,,,,,,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned,exceeded 60s solve budget,steady solve did not finish
5,4,2|1|1|1,0.125|0.375|0.625|0.875,15.484451|9.9149933|7.3014679|13.210281,0.0005|0.00050002039|0.00054336809|0.0072466907,842.65549|898.34997|924.26848|831.66373,mttdl-invalid,skipped,810,2021760,405,,6.2220000036177225,,4.259832996467594,3.5484580002957955,7.80829099676339,,,,0.9999982089575895,,,,,-216328229462194.8,,-216328229462196.66,,,4339.593048600406,,,,"estimated states 2,021,760 exceeds cap 1,000,000",,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned,,
5,5,1|1|1|1|1,0.1|0.3|0.5|0.7|0.9,16.15002|11.36458|8.0625|7.70298|14.77882,0.0005|0.00050000072|0.00050152588|0.00073737808|0.010794557,835.9998|883.8542|916.86737|919.28331|798.23902,mttdl-invalid,skipped,1458,4478976,648,,10.161291000258643,,9.937084003468044,8.322540998051409,18.259625001519453,,,,0.999998318152481,,,,,-211370527439581.84,,-211370527439585.12,,,4354.243552255253,,,,"estimated states 4,478,976 exceeds cap 1,000,000",,first-passage solve produced non-physical MTTDL; the rare-event system is numerically ill-conditioned,,
7,1,7,0.5,8.0625,0.00050152588,916.86737,ok,steady-timeout,72,190944,64,68952,1.3072909932816401,1113.9237919996958,1.561958997626789,1.3542090018745512,2.91616799950134,60000.79191599798,,60000.79191599798,0.999998721621127,,,4447937743444904.0,,4447937743444904.0,,0.0,,,6418.071551369556,,,,,,,exceeded 60s solve budget,steady solve did not finish
7,2,4|3,0.25|0.75,12.442383|8.4970703,0.00050000005|0.0011681731,873.07617|909.18843,ok,skipped,450,4471740,340,,4.619874998752493,,3.651042003184557,2.8584579995367676,6.509500002721325,,,,0.9999983545376928,,,16975914642350.574,,16975914642350.574,,0.0,,,6219.869915745521,,,,"estimated states 4,471,740 exceeds cap 1,000,000",,,,
