name,cost_mean,cost_ci_lower,cost_ci_upper,availability_mean,availability_ci_lower,availability_ci_upper,prob_dl_mean,prob_dl_ci_lower,prob_dl_ci_upper,mttl_days_mean,mttl_days_ci_lower,mttl_days_ci_upper
F2D2-F2D2-F2D2,27325.181316063088,27323.871806787363,27326.490825338813,0.9999627637314037,0.9999511385083316,0.9999743889544758,0.0,0.0,0.0,inf,inf,inf
F0D2-F0D2-F1D2,21281.544188580403,21280.382753810132,21282.705623350674,0.999976660895909,0.999973790248213,0.999979531543605,2e-05,0.0,5.919888769604419e-05,305.31142791002236,305.31142791002236,305.31142791002236
F0D2-F0D2-F0D2,20230.40097575697,20229.31329074125,20231.488660772688,0.999975866406394,0.9999732662832423,0.9999784665295457,0.0,0.0,0.0,inf,inf,inf
F0D1-F0D2-F0D2,17596.617750393973,17595.20176384825,17598.033736939695,0.9999381583729972,0.9999334286791332,0.9999428880668612,2e-05,0.0,5.919888769604419e-05,357.3702865451907,357.3702865451907,357.3702865451907
F0D1-F0D1-F2D2,17333.85290179626,17332.136314157913,17335.56948943461,0.9998652538092634,0.9998545621422292,0.9998759454762975,6e-05,0.0,0.00012789310715969525,292.2988777202387,151.43841577617937,433.159339664298
F0D1-F0D1-F2D1,14702.15016351729,14700.192128953277,14704.108198081303,0.9997864221975815,0.9997750855301654,0.9997977588649977,0.00016,4.9136564191321386e-05,0.0002708634358086786,267.8460367462412,202.381511715899,333.3105617765835
F0D1-F0D1-F1D1,13387.349582337743,13385.666177168512,13389.032987506975,0.9997837308817739,0.9997729353845654,0.9997945263789824,0.0001,1.2352128664615522e-05,0.00018764787133538447,258.8627329829426,159.36818391946434,358.3572820464208
F0D1-F0D1-F0D1,12337.06116705663,12335.617583024492,12338.504751088769,0.9998014500476948,0.9997920974176447,0.9998108026777449,0.00016,4.9136564191321386e-05,0.0002708634358086786,280.40721062415105,213.87532348740785,346.9390977608943
F0D0-F0D1-F0D1,10052.35295614775,10047.959039597117,10056.746872698383,0.9970365173085972,0.9969943035782486,0.9970787310389458,0.00328,0.0027788282334109357,0.003781171766589064,273.4911994839294,262.7438600784875,284.2385388893712
F0D0-F0D1-F1D1,11107.205341331666,11102.167208378067,11112.243474285266,0.9966003155669101,0.9965465822140138,0.9966540489198064,0.0029,0.00242866309477549,0.0033713369052245095,276.30675752269275,264.7654157312555,287.84809931412997
F0D0-F0D0-F0D1,7790.185092798099,7783.529457575461,7796.840728020737,0.9868986259691646,0.9868125361904712,0.986984715747858,0.05812,0.05606919825062422,0.06017080174937577,287.2408691967815,284.85609700819504,289.6256413853679
F0D0-F0D0-F0D0,5692.248221202273,5683.830258306802,5700.666184097745,0.9803916895107082,0.980298766757371,0.9804846122640454,0.19996,0.19645417282184924,0.20346582717815076,256.5359925090856,255.020438941664,258.0515460765072
F0D0-F0D0-F1D1,8944.814787203166,8937.396738728019,8952.232835678313,0.9788604186944959,0.9786816622646918,0.9790391751243,0.03448,0.03288070951073426,0.03607929048926573,265.8966558104679,262.4569876203922,269.3363240005435
