name,cost,availability,prob_dataloss,mttl_days
F0D0-F0D0-F2D0,7934.168372782175,0.9610391712661925,0.316,256.54166536289995
F0D0-F0D0-F2D1,10213.056127131716,0.9615657207538407,0.041,264.11636370981444
F0D0-F0D0-F2D2,12728.557805753824,0.9585313202507463,0.016,261.3778623360223
F0D0-F0D0-F1D0,6644.166821486344,0.9736420054561904,0.268,258.7233496856082
F0D0-F0D0-F1D2,11540.318061761505,0.9775330284034582,0.01,299.2001214991923
F0D0-F0D0-F1D1,8979.76317938349,0.9784563718584366,0.034,272.4553684469509
F0D0-F0D1-F0D1,10081.882665060226,0.997205970269824,0.003,306.4186103246913
F0D0-F0D0-F0D1,7813.330265174042,0.9865483646949063,0.05,285.7826500077268
F0D0-F0D0-F0D0,5721.984535560921,0.9802306216922735,0.186,256.423063169339
F0D0-F0D0-F0D2,10068.106768232283,0.9864762900690361,0.063,309.1859756652286
F0D0-F0D1-F1D1,11117.391537172547,0.9967534677376195,0.002,291.4948746720473
F0D0-F0D1-F1D0,8783.337917613364,0.9828113815800332,0.089,295.0027210399528
F0D0-F0D1-F1D2,13657.657153828164,0.9974158981386659,0.002,227.19629683144314
F0D0-F0D1-F2D1,12450.791261874814,0.9962691570532514,0.006,296.8128228098675
F0D0-F0D1-F2D0,10148.66997485005,0.975526659569305,0.105,288.2713277429189
F0D0-F0D1-F0D2,12650.87731219692,0.9977954683148141,0.002,299.9097381840631
F0D0-F0D1-F2D2,14980.144670216077,0.9974956653012044,0.005,254.0387020785771
F0D0-F0D2-F1D1,13662.962239458944,0.9973903133939671,0.0,inf
F0D0-F1D0-F1D0,7337.537578157444,0.9592982630888341,0.299,258.44034796824366
F0D0-F0D2-F1D0,10899.055478617662,0.9825284889976458,0.104,293.11745358554884
F0D0-F0D2-F1D2,16244.191356636655,0.9986339285950632,0.0,inf
F0D0-F0D2-F2D1,14977.793446969154,0.9971288102728353,0.003,299.84999921661625
F0D0-F0D2-F2D0,12308.465120063678,0.9756502708680973,0.104,302.6110581662236
F0D0-F0D2-F2D2,17597.852416273974,0.9984177350281267,0.002,323.5421250150719
F0D0-F1D0-F1D1,9821.336090514973,0.970909104732075,0.049,262.93027131537167
F0D0-F0D2-F0D2,15228.909383875654,0.998510608287358,0.001,283.9251040934416
F0D0-F1D0-F2D0,8329.244328337576,0.9425872562705435,0.371,252.9521013667754
F0D0-F1D0-F1D2,12440.71440221216,0.9737242831079596,0.02,305.6051476418916
F0D0-F1D0-F2D1,11024.917061285692,0.9502009947368222,0.049,263.3687893621324
F0D0-F1D0-F2D2,13651.509674331037,0.9484781373418871,0.009,242.93391419610413
F0D0-F1D1-F2D1,13407.341260808573,0.9921552456005298,0.004,268.8254869170988
F0D0-F1D1-F1D1,12058.944649467041,0.9944543875159688,0.005,314.82145630400896
F0D0-F1D1-F1D2,14657.290345023765,0.9965782573454626,0.002,238.03463537830936
F0D0-F1D1-F2D0,11040.699448968177,0.9694376630042585,0.039,263.78558388509947
F0D0-F1D1-F2D2,15982.429524175226,0.9947026544807622,0.001,228.8822431697079
F0D0-F1D2-F1D2,17288.093828158184,0.9980154612596862,0.0,inf
F0D0-F1D2-F2D1,15977.955818833318,0.9952137998185192,0.0,inf
F0D0-F2D0-F2D0,9272.511378215999,0.9221066500752347,0.413,243.88184296522545
F0D0-F1D2-F2D0,13644.45614372101,0.9683611512631187,0.021,288.2675166979916
F0D0-F1D2-F2D2,18593.236632068358,0.9975607266132744,0.0,inf
F0D0-F2D0-F2D1,12125.337301738758,0.9350670578296626,0.065,272.28005300751596
F0D0-F2D0-F2D2,14831.034336974948,0.9355155264196892,0.024,271.7899122965012
F0D0-F2D1-F2D1,14659.551783344783,0.985932330758589,0.006,291.3351503010881
F0D0-F2D1-F2D2,17267.736816669527,0.9865893959714352,0.003,333.80331569160506
F0D0-F2D2-F2D2,19897.38199108012,0.9941450646120398,0.0,inf
F0D1-F0D1-F1D0,10981.989214704086,0.9970716007614331,0.005,313.7803812165947
F0D1-F0D1-F1D1,13391.632394036462,0.9998365150542122,0.0,inf
F0D1-F0D1-F1D2,16023.595179489534,0.9998779850642148,0.0,inf
F0D1-F0D1-F2D0,12098.539763266128,0.9962687515857657,0.008,304.2814378051427
F0D1-F0D2-F1D0,13473.768070486689,0.9974326280695687,0.003,254.59099138239515
F0D1-F0D1-F2D1,14704.792578031123,0.999893252839358,0.0,inf
F0D1-F0D1-F2D2,17339.638159172726,0.9999139307109569,0.0,inf
F0D1-F0D1-F0D1,12338.476931466696,0.9997859811846793,0.0,inf
F0D1-F0D1-F0D2,14966.440011001707,0.9998430997589928,0.0,inf
F0D1-F0D2-F0D2,17592.011881406383,0.9999560618941856,0.0,inf
F0D1-F1D0-F1D0,9538.153641563962,0.9758103960986113,0.127,284.66919389685864
F0D1-F1D0-F2D0,10826.32765032885,0.9674520786345231,0.186,297.49395999310434
F0D1-F1D0-F1D1,11956.781915380143,0.9960646766038652,0.009,296.07194440855903
F0D1-F1D0-F1D2,14603.95281206476,0.9976255460205664,0.002,249.85612103081266
F0D1-F0D2-F2D0,14681.77745788598,0.9974387655544195,0.002,329.72998154336074
F0D1-F0D2-F1D1,16020.948823871524,0.9998746092250819,0.0,inf
F0D1-F0D2-F1D2,18652.263559863626,0.9999504399987402,0.0,inf
F0D1-F0D2-F2D1,17315.756834786564,0.9998618864498128,0.0,inf
F0D1-F0D2-F2D2,19959.89880395545,0.9999513912485869,0.0,inf
F0D1-F1D0-F2D1,13309.88654889185,0.9955998311681586,0.005,258.9350154391804
F0D1-F1D0-F2D2,15871.796312175595,0.9964207045001083,0.0,inf
F0D1-F1D1-F2D0,13065.035354953516,0.9960999615866558,0.003,323.89941142012526
F0D1-F1D1-F1D1,14434.7807681114,0.9997710476273006,0.0,inf
F0D1-F1D1-F1D2,17057.298042616505,0.9998306448509884,0.0,inf
F0D1-F1D1-F2D1,15744.59024797348,0.999678592089053,0.0,inf
F0D1-F1D1-F2D2,18388.01998256806,0.999853958141443,0.0,inf
F0D1-F1D2-F1D2,19697.87325517689,0.999903918438836,0.0,inf
